City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
408,Salalah,OM,81.5,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
412,Isangel,VU,79.03,overcast clouds,-19.55,169.2667,Tanna Lodge
414,Dingle,PH,77.52,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
416,Barentu,ER,85.62,few clouds,15.1139,37.5928,
419,Trairi,BR,79.79,overcast clouds,-3.2778,-39.2689,janelas do mar
420,Kailua,US,74.14,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
424,Cruzeiro Do Oeste,BR,84.58,clear sky,-23.785,-53.0733,Ramos hotel
427,Kuliyapitiya,LK,83.88,scattered clouds,7.4688,80.0401,Rest House
429,Ulladulla,AU,67.77,light rain,-35.35,150.4667,Sandpiper Motel
431,Gorontalo,ID,74.35,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
432,Cartagena,CO,85.77,overcast clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
435,Torit,SS,82.8,overcast clouds,4.4133,32.5678,Diplomat Guest House
440,Acapulco,MX,84.4,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
442,Necochea,AR,69.33,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
444,Kahului,US,74.84,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
446,Antalaha,MG,77.02,clear sky,-14.9003,50.2788,Hotel Vitasoa
448,Iquique,CL,71.53,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
450,Makakilo City,US,72.68,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
452,Kourou,GF,84.25,broken clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
455,Canoinhas,BR,83.41,clear sky,-26.1772,-50.39,Santa Catarina Plaza Hotel
457,Saravena,CO,81.91,overcast clouds,6.9538,-71.8752,Hotel Diamante Saravena
458,Barmer,IN,82.24,clear sky,25.75,71.3833,Jain Dharamshala
462,Searcy,US,69.98,overcast clouds,35.2506,-91.7363,"Holiday Inn Express & Suites Searcy, an IHG Hotel"
468,Kununurra,AU,76.98,broken clouds,-15.7667,128.7333,Hotel Kununurra
470,Tocopilla,CL,71.35,few clouds,-22.092,-70.1979,Hotel Galvarino
472,Lorengau,PG,81.21,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
473,Sorong,ID,80.04,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
474,Vao,NC,78.37,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
478,Denpasar,ID,80.26,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
480,Labuhan,ID,79.38,light rain,-6.8844,112.2051,DoubleFAG
481,Abancay,PE,69.67,broken clouds,-13.6339,-72.8814,Siball Hotel
482,Socorro,US,72.59,scattered clouds,31.6546,-106.3033,guarderia imss papalote
483,Geraldton,AU,72.01,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
485,Qui Nhon,VN,74.89,broken clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
487,Marshall,US,70.3,clear sky,34.3834,-86.3333,Riverview Campground
492,Akyab,MM,78.98,scattered clouds,20.15,92.9,Hotel Memory
498,Salvador,SV,84.06,overcast clouds,13.8333,-88.9167,Chico's Ranch
499,Buala,SB,79.79,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
501,Comal,US,76.93,overcast clouds,29.8169,-98.3003,Creek Hollow Cabins & RV Park
502,Luanda,AO,78.67,light rain,-8.8368,13.2343,EPIC SANA Luanda
507,Ouegoa,NC,78.69,overcast clouds,-20.35,164.4333,
509,Saint-Pierre,RE,76.68,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
513,Pemangkat,ID,79.81,overcast clouds,1.1667,108.9667,Ramah Kost KITA
514,Naze,JP,65.12,overcast clouds,28.3667,129.4833,Shishime Hotel
515,Alta Floresta,BR,80.33,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
517,Ewa Beach,US,74.08,clear sky,21.3156,-158.0072,Base Lodging
518,Khadro,PK,80.64,clear sky,26.1472,68.7176,Bismillah Hotal bus stop Khadro
521,Puerto Ayacucho,VE,84.11,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
523,Bundaberg,AU,69.22,clear sky,-24.85,152.35,Takalvan Motel
533,Porto Velho,BR,87.85,scattered clouds,-8.7619,-63.9039,Ecos Hotel Conforto
538,Villanueva,HN,88.03,broken clouds,15.3167,-88.0,IGLESIA EVANGELICA DEL PRINCIPE DE PAZ
539,Faanui,PF,81.75,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
544,Todos Santos,MX,67.66,broken clouds,23.45,-110.2167,Hotel California Todos Santos
545,Santa Pola,ES,67.15,broken clouds,38.1917,-0.5658,Alojamiento en Santa Pola
546,Mosetse,BW,79.97,broken clouds,-20.75,26.65,
549,Nouadhibou,MR,65.53,clear sky,20.931,-17.0347,El Medina
550,Muisne,EC,79.92,overcast clouds,0.6,-80.0333,Quinta Samay
551,Kieta,PG,78.85,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
552,Coffs Harbour,AU,69.76,heavy intensity rain,-30.3,153.1333,Aquajet Motel
554,Sinnamary,GF,81.28,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
555,Qiongshan,CN,72.77,overcast clouds,20.0058,110.3542,Sun City Restaurant
561,Oranjestad,AW,85.95,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
563,Puerto Lempira,HN,87.94,scattered clouds,15.2667,-83.7667,Puerto Lempira gracias a Dios
569,Vanimo,PG,76.39,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
572,Lashio,MM,69.24,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
573,Asyut,EG,74.01,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
575,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
577,Malindi,KE,81.7,clear sky,-3.2175,40.1191,African House Resort
578,Xambioa,BR,74.55,overcast clouds,-6.4111,-48.5364,Pousada Do Sol
584,Wahiawa,US,70.86,clear sky,21.5028,-158.0236,The Inn At Schofield
586,Lyantonde,UG,66.18,light rain,-0.4031,31.1572,Pals Panache Splendors
587,Anloga,GH,84.45,overcast clouds,5.7947,0.8973,Pin Drop Hotel
591,Kalawit,PH,78.17,overcast clouds,8.0667,122.5167,Ompoy Pension House
593,Nago,JP,69.46,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
596,Batticaloa,LK,80.51,clear sky,7.7102,81.6924,Grand Star Guest House
602,Shenzhen,CN,69.84,overcast clouds,22.5455,114.0683,Grand Skylight
603,Corpus Christi,US,80.17,overcast clouds,27.8006,-97.3964,"Holiday Inn Corpus Christi Downtown Marina, an IHG Hotel"
607,Mlonggo,ID,79.86,broken clouds,-6.5333,110.7,Asia Metal Art
608,Gizo,SB,82.67,light rain,-8.103,156.8419,Imagination Island
614,Darab,IR,67.05,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
616,Coyah,GN,88.45,broken clouds,9.75,-13.4167,Motel Canal+
617,Mustang,US,73.15,broken clouds,35.3842,-97.7245,Luxury Inn
619,Grand-Santi,GF,85.55,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
621,Abadan,IR,73.62,clear sky,30.3392,48.3043,سالن مراسمات خانه معلم
625,Kinango,KE,78.13,light rain,-4.1372,39.3153,Legacy Hotel
627,Awbari,LY,84.85,clear sky,26.5921,12.7805,فندق أوباري
629,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
630,Canutama,BR,74.07,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
632,Coari,BR,79.79,light rain,-4.085,-63.1414,Dellrey Hotel Center
633,San Juan,AR,85.48,clear sky,-31.5375,-68.5364,Hotel Provincial
634,Alyangula,AU,80.2,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
638,Houma,US,80.6,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
639,Sechura,PE,83.23,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
641,Poceirao,PT,67.23,broken clouds,38.831,-8.7937,Fonte de Lobos
642,Waingapu,ID,78.03,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
644,Pisco,PE,73.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
647,Moussoro,TD,87.62,few clouds,13.6408,16.4901,Hôtel Salama
649,Mahibadhoo,MV,82.62,clear sky,3.7833,72.9667,Omadhoo Inn
653,Pouembout,NC,77.2,overcast clouds,-21.1333,164.9,Camping de Tipenga
654,Taltal,CL,67.89,clear sky,-25.4,-70.4833,Residencial Karime
656,Coahuayana,MX,87.42,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
658,Muncar,ID,75.88,broken clouds,-8.4333,114.3333,Zaky Homestay
660,Manzini,SZ,69.66,clear sky,-26.25,31.5,
664,Buta,CD,69.57,moderate rain,2.7858,24.73,HOTEL BISO NA BISO
665,Samarai,PG,80.98,overcast clouds,-10.6167,150.6667,Nuli Sapi
666,Rampur,IN,79.63,clear sky,28.8167,79.0333,OYO 38687 Hotel Shivansh
