City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Hofn,IS,2022-03-29 16:54:29,64.2539,-15.2082,32.94,58,24,7.94,few clouds
79,Los Llanos De Aridane,ES,2022-03-29 16:54:29,28.6585,-17.9182,66.13,72,40,13.8,scattered clouds
80,Aklavik,CA,2022-03-29 16:54:30,68.2191,-135.0107,-14.17,99,100,5.99,overcast clouds
81,La Romana,DO,2022-03-29 16:54:30,18.4273,-68.9728,84.56,61,75,9.22,broken clouds
82,Terenos,BR,2022-03-29 16:52:11,-20.4422,-54.8603,91.11,48,40,10.36,scattered clouds
83,Alice Springs,AU,2022-03-29 16:54:03,-23.7,133.8833,69.22,32,23,4.61,few clouds
84,Mar Del Plata,AR,2022-03-29 16:54:46,-38.0023,-57.5575,66.22,74,100,10.36,overcast clouds
85,Barrow,US,2022-03-29 16:55:30,71.2906,-156.7887,-18.99,97,72,16.42,broken clouds
86,Hithadhoo,MV,2022-03-29 16:55:31,-0.6,73.0833,82.53,65,2,5.46,clear sky
87,Pipri,IN,2022-03-29 16:55:31,19.8,75.5333,87.96,16,0,9.06,clear sky
88,Marzuq,YE,2022-03-29 16:55:31,14.4,46.4667,70.52,24,0,1.45,clear sky
89,Georgetown,MY,2022-03-29 16:55:32,5.4112,100.3354,84.13,87,40,8.05,scattered clouds
90,Jiexiu,CN,2022-03-29 16:55:32,37.0244,111.9125,53.35,29,40,3.06,scattered clouds
91,Marawi,PH,2022-03-29 16:55:32,7.9986,124.2928,67.46,92,99,2.1,overcast clouds
92,Otjimbingwe,NA,2022-03-29 16:55:33,-22.35,16.1333,80.31,43,48,10.29,scattered clouds
93,Port Elizabeth,ZA,2022-03-29 16:55:33,-33.918,25.5701,70.11,95,20,10.36,light intensity shower rain
94,Callaway,US,2022-03-29 16:55:33,30.153,-85.5699,80.98,70,75,6.91,broken clouds
95,Nivala,FI,2022-03-29 16:55:33,63.9167,24.9667,22.68,95,100,8.39,light snow
96,Yellowknife,CA,2022-03-29 16:55:34,62.456,-114.3525,11.41,94,75,9.22,broken clouds
97,Luderitz,NA,2022-03-29 16:55:34,-26.6481,15.1594,65.08,79,47,12.17,scattered clouds
98,Aksarayskiy,RU,2022-03-29 16:55:34,46.7924,48.0119,46.04,51,22,15.99,few clouds
99,Provideniya,RU,2022-03-29 16:55:34,64.3833,-173.3,0.27,81,6,7.85,clear sky
100,Staszow,PL,2022-03-29 16:55:35,50.5631,21.1659,52.63,63,100,6.29,overcast clouds
101,Aswan,EG,2022-03-29 16:55:35,24.0934,32.907,90.7,12,0,8.05,dust
102,Ambon,ID,2022-03-29 16:55:36,-3.6954,128.1814,77.14,94,40,4.61,light rain
103,Iberia,US,2022-03-29 16:52:52,29.9502,-91.7507,80.06,65,75,14.97,broken clouds
104,Obo,CF,2022-03-29 16:55:36,5.3998,26.4869,82.71,22,41,2.86,scattered clouds
105,Palmas,BR,2022-03-29 16:55:36,-10.2128,-48.3603,73.27,100,75,5.75,heavy intensity rain
106,Baykit,RU,2022-03-29 16:55:36,61.67,96.37,6.64,99,96,1.39,overcast clouds
107,Soyo,AO,2022-03-29 16:55:37,-6.1349,12.3689,77.4,82,100,6.58,overcast clouds
108,Codrington,AU,2022-03-29 16:55:37,-38.2667,141.9667,58.68,63,99,11.18,overcast clouds
109,Aberystwyth,GB,2022-03-29 16:55:38,52.4155,-4.0829,56.71,77,87,4.21,overcast clouds
110,Shahpur,IN,2022-03-29 16:55:38,16.7,76.8333,91.09,19,1,4.79,clear sky
111,San Jose,US,2022-03-29 16:53:30,37.3394,-121.895,57.85,76,75,1.99,broken clouds
112,Pauini,BR,2022-03-29 16:55:38,-7.7136,-66.9764,81.41,84,100,3.49,light rain
113,Hasaki,JP,2022-03-29 16:55:38,35.7333,140.8333,48.6,84,100,13.71,overcast clouds
114,Tagusao,PH,2022-03-29 16:55:39,9.1924,117.8141,78.28,86,99,6.4,overcast clouds
115,Talnakh,RU,2022-03-29 16:55:39,69.4865,88.3972,24.21,94,100,12.37,light snow
116,Natal,BR,2022-03-29 16:55:39,-5.795,-35.2094,88.45,62,40,18.41,moderate rain
117,Bredasdorp,ZA,2022-03-29 16:55:40,-34.5322,20.0403,65.34,71,100,12.08,overcast clouds
118,Chuy,UY,2022-03-29 16:55:40,-33.6971,-53.4616,84.33,36,0,10.0,clear sky
